Gold	Predictions	Probabilities	Filename
Réunion	['Réunion', 'Mayotte', 'Martinique', 'Hauts-de-France', 'Grand Est']	[1.0, 1.5277184798802838e-21, 5.941006929388972e-24, 5.023855667482158e-28, 9.184680159245968e-30]	a2e-kbevTmEBS34nQWe4hQ
Réunion	['Martinique', 'Réunion', 'Guadeloupe', 'Mayotte', 'French Guiana']	[1.0, 6.740315632101828e-17, 2.0093127866159774e-21, 1.3293932797345884e-35, 3.36548450878427e-40]	nkNWTk8MY_hfVB4OD7WNog
Réunion	['Réunion', 'Mayotte', 'Martinique', 'Guadeloupe', 'Hauts-de-France']	[1.0, 4.753917745570213e-12, 4.461290684749583e-14, 8.79558338906051e-26, 6.600440269130492e-34]	3VqbIwkbDASi_wwR3mIDbA
Réunion	['Hauts-de-France', 'Ile-de-France', 'Grand Est', 'Réunion', 'New Aquitaine']	[1.0, 9.257509698624498e-19, 2.6490483650584864e-24, 1.4480825306898363e-28, 2.964599338861381e-31]	TsTGedRpv9PFBSZsO19T3Q
Réunion	['Réunion', 'Guadeloupe', 'Martinique', 'Hauts-de-France', 'Mayotte']	[1.0, 6.969998541917182e-17, 5.323301121921976e-20, 8.607992642480036e-22, 1.0773428670935993e-29]	0S0j98wl_9xT6j-TEvE_cg
Réunion	['Réunion', 'Mayotte', 'Martinique', 'Guadeloupe', 'Hauts-de-France']	[1.0, 2.5286589770863455e-14, 2.0937519732346944e-20, 2.4458602784093525e-24, 5.087505020212305e-33]	kVXCl_TgTufeTOBQcvT_sA
Réunion	['Réunion', 'Martinique', 'Mayotte', 'Guadeloupe', 'French Guiana']	[1.0, 1.287866169263907e-08, 9.959379512498173e-16, 3.094658568610079e-21, 1.1246327702549312e-26]	ljLNgi-hQgTKQlyUQtr1fg
Réunion	['Réunion', 'Mayotte', 'Martinique', 'Hauts-de-France', 'Guadeloupe']	[1.0, 6.2968272597789445e-15, 1.2409399322784851e-24, 2.0824507331907732e-26, 6.749316812333127e-33]	nrE1zPAYvyfzq8VGwUBcCw
Réunion	['Réunion', 'Martinique', 'Guadeloupe', 'New Aquitaine', 'Centre-Loire Valley']	[1.0, 5.3360977946987487e-17, 2.140750434974055e-33, 0.0, 0.0]	7OlczTDg__ZeRBTHPAPKYw
Réunion	['Réunion', 'Martinique', 'Hauts-de-France', 'Guadeloupe', 'Grand Est']	[1.0, 7.200377989159679e-13, 2.3241822308683113e-23, 1.780966288331966e-30, 3.2492362446064965e-32]	gbGZnQgbA4LhKFiuW_RpvQ
Réunion	['Martinique', 'Réunion', 'Mayotte', 'French Guiana', 'Guadeloupe']	[0.7652859687805176, 0.23471331596374512, 7.550244163212483e-07, 1.4435910244969818e-08, 8.823446973060811e-10]	dT3wQ3RxsfPJUsTAdWUqTg
Réunion	['Réunion', 'Martinique', 'Hauts-de-France', 'Mayotte', 'Guadeloupe']	[1.0, 1.459446972995604e-11, 5.582555823131308e-22, 3.062257312307589e-22, 1.186931240934298e-23]	6TBXReW5XyqXPq3FeQhYog
Réunion	['Réunion', 'Martinique', 'Mayotte', 'Guadeloupe', 'Hauts-de-France']	[1.0, 8.98806311040965e-20, 6.497428603209689e-30, 1.0749818725840405e-30, 3.067104625477122e-39]	xNXE88oybpmxTN9vKoE7QA
Réunion	['Réunion', 'Martinique', 'Guadeloupe', 'Mayotte', 'Hauts-de-France']	[1.0, 7.514144306774995e-10, 1.0711696937805477e-17, 3.134749823779958e-19, 3.3056630773422435e-42]	qz6Rwcmm0Sqg24kYNVc4_Q
Réunion	['Martinique', 'French Guiana', 'Mayotte', 'Réunion', 'Guadeloupe']	[0.9999997615814209, 2.409789772173099e-07, 3.2456511436795843e-12, 5.577450393895456e-13, 5.633689983907416e-20]	7S6TQ_7aCzLcj6vXALUTsg
