Gold	Predictions	Probabilities
Washington	['Washington', 'Nashville', 'Dallas', 'Clovis', 'New York']	[1.0, 0.0, 0.0, 0.0, 0.0]	4WdWzFJqliDisuWgQUpX7A
Washington	['Washington', 'Baltimore', 'Cambridge', 'St. Johns', 'Charter Township of Clinton']	[1.0, 9.420022921424742e-12, 2.3939539704029086e-25, 4.3840362341991066e-38, 4.203895392974451e-44]	fjuyy7JPI0CACKLBiSljzw
Washington	['Raleigh', 'Durham', 'Helena', 'Greer', 'Asheville']	[1.0, 1.496607282547302e-10, 4.511492915360016e-11, 7.418166321287393e-17, 4.749387250931803e-19]	m38YixejIXSw_AGuaWU3tA
Washington	['Washington', 'Baltimore', 'Augusta', 'Cambridge', 'St. Johns']	[1.0, 6.711916989167317e-23, 3.471529552523697e-36, 6.320603246446103e-38, 1.2402065941645004e-39]	3yXuOmNccUGZUiYG9bYFCw
Washington	['Washington', 'Baltimore', 'Raleigh', 'Nashville', 'St. Johns']	[0.9999977350234985, 2.298372692166595e-06, 1.165761975840951e-08, 5.048938264001768e-12, 1.0116193898396914e-15]	WmVqa7EQtsLGiZ_MSMdkEQ
Washington	['Washington', 'Augusta', 'Raleigh', 'Greer', 'Johnson City']	[1.0, 6.604637762261736e-14, 9.523888534095689e-15, 9.5673250189056e-16, 3.408674302542073e-20]	7_FLntIadZN5lyjY7QmhMw
Washington	['Charter Township of Clinton', 'Baltimore', 'Washington', 'Dearborn', 'Buckeye']	[0.9999983310699463, 1.7008806025842205e-06, 5.5505766649588395e-11, 3.6053436711785958e-12, 8.213196697184552e-14]	0EC0vdgBiD9iY7AluajjvA
Washington	['Washington', 'Baltimore', 'St. Johns', 'Clovis', 'Yuma']	[1.0, 8.031946511900356e-16, 9.225694191581186e-30, 0.0, 0.0]	XqyRTe8U2mUhjR0uEIbqfA
Washington	['Washington', 'Baltimore', 'New York', 'Huntington', 'Clovis']	[1.0, 1.5047134371837245e-10, 6.480767737282729e-38, 6.992899726520135e-41, 0.0]	W8mK92QCWcifaojk7gxdwA
Washington	['Washington', 'Baltimore', 'New York', 'St. Johns', 'Raleigh']	[1.0, 1.411218592629482e-19, 7.011785718714372e-25, 3.9323181005528935e-36, 7.13929057449122e-39]	wXGFBU5A5w37JAm0bwVFiQ
Washington	['Washington', 'Baltimore', 'Clovis', 'Nashville', 'Yuma']	[1.0, 8.658567159124472e-40, 0.0, 0.0, 0.0]	TgdYllJPU8jRbFNxcPzSmw
Washington	['Nashville', 'Boston', 'Huntington', 'Cambridge', 'St. Johns']	[0.9996236562728882, 0.00036251870915293694, 1.116064413508866e-05, 2.54311521530326e-06, 8.895928971242029e-08]	5_3XtQnvbEoandRpa6LvaQ
Washington	['Washington', 'Baltimore', 'Clovis', 'Nashville', 'Yuma']	[1.0, 3.16624115452426e-24, 0.0, 0.0, 0.0]	duUALRS8PpOgUTCXtZ7F1w
Washington	['Raleigh', 'Baltimore', 'Washington', 'Cambridge', 'Charter Township of Clinton']	[0.7747159004211426, 0.20927694439888, 0.016007235273718834, 1.9869397793748078e-11, 1.1863836302250519e-11]	mmgVyx1hydhjmfph7ZhzbQ
Washington	['Washington', 'Baltimore', 'Clovis', 'Nashville', 'Yuma']	[1.0, 3.279318666212937e-41, 0.0, 0.0, 0.0]	9O6xSl9Ybfl59nWp1a0dmw
Washington	['Washington', 'Baltimore', 'Clovis', 'Nashville', 'Yuma']	[1.0, 5.74532370373175e-44, 0.0, 0.0, 0.0]	DzfJ2zkPcwUFo6pzRHSgnw
Washington	['Charter Township of Clinton', 'Baltimore', 'Washington', 'Nashville', 'Dearborn']	[0.9999644756317139, 2.6672823878470808e-05, 8.819148206384853e-06, 9.279827848805624e-15, 6.7048481126690245e-15]	cqRuJ7CRAnpmUJFdrda1jw
Washington	['Washington', 'Baltimore', 'Cambridge', 'St. Johns', 'Danbury']	[1.0, 1.8028218060400816e-27, 6.363422059136852e-31, 4.2943612488030236e-36, 1.2594552222340361e-36]	fDLiu45_8iYLIk3lxFrd_Q
Washington	['Washington', 'Baltimore', 'Cambridge', 'New York', 'Nashville']	[1.0, 3.2277508827257836e-41, 2.802596928649634e-45, 0.0, 0.0]	97VoGGalvvjPJsUTLRQHEw
Washington	['Washington', 'New York', 'Cambridge', 'Boston', 'Montevideo']	[1.0, 5.045818873838925e-09, 1.0346254696079818e-13, 2.5424052055193666e-20, 6.913568344099938e-32]	fl0p9bJQGqdoJ1P9Xi9d4w
Washington	['Washington', 'Baltimore', 'Clovis', 'Nashville', 'Yuma']	[1.0, 2.2266632598121343e-42, 0.0, 0.0, 0.0]	TXmmP6693ZYZueCJV6yTJg
Washington	['Charter Township of Clinton', 'Helena', 'Buckeye', 'Johnson City', 'Huntington']	[0.9848537445068359, 0.015129566192626953, 1.666905518504791e-05, 2.8616966574190883e-08, 2.4157543521141633e-08]	5BoDARDaJ3drCBySfyeLrg
Washington	['Washington', 'Cambridge', 'Hayward', 'Baltimore', 'Charter Township of Clinton']	[1.0, 9.964811279800394e-24, 2.437173041355637e-37, 1.2490179589081749e-39, 5.176957046601604e-41]	DB_l6WSOIbQMAOST46oQDA
Washington	['Washington', 'Cambridge', 'Baltimore', 'Charter Township of Clinton', 'Orange']	[1.0, 2.322039968639657e-21, 1.0190398669719106e-28, 4.294393150085033e-29, 3.1437631566978924e-29]	YOU0uwueIsmvEtZZXu2dww
Washington	['Raleigh', 'Washington', 'Atlanta', 'Greenville', 'Durham']	[0.975380539894104, 0.0246194526553154, 1.3682855880498088e-14, 4.0002210901092083e-16, 2.268338609615535e-22]	cU8wSl8BeXRjheciVaaBPA
Washington	['Baltimore', 'Washington', 'St. Johns', 'Nashville', 'Huntington']	[0.9696213006973267, 0.030378658324480057, 1.7343581529517428e-20, 6.7628881321529056e-21, 1.775802574932485e-23]	rwfYXwdjzn42mDIErPac5g
Washington	['Washington', 'Marquette', 'Cambridge', 'Baltimore', 'Huntington']	[1.0, 2.2367672602288864e-21, 1.5568571336965244e-22, 4.8734187372985447e-26, 6.1410113427520557e-33]	-JNtvN-1qiVWQVgcam1umg
Washington	['Washington', 'St. Johns', 'Baltimore', 'New York', 'Yuma']	[1.0, 9.42008879657715e-41, 2.6624670822171524e-44, 0.0, 0.0]	14g7SASosvVelV_4hZ5MRw
Washington	['Danbury', 'Johnson City', 'Baltimore', 'Augusta', 'Washington']	[0.6790257692337036, 0.3209742605686188, 5.129217498867425e-14, 2.5894726816223573e-15, 1.9122147831509726e-15]	57bcR68oHvJ1WuXrkTOOxA
Washington	['Washington', 'Cambridge', 'Baltimore', 'New York', 'Nashville']	[1.0, 7.152133755176449e-38, 7.006492321624085e-45, 0.0, 0.0]	qtEzFueR1MgWn6ujudq11A
Washington	['Washington', 'Baltimore', 'St. Johns', 'Clovis', 'Yuma']	[1.0, 1.1718063078262436e-30, 3.4061621853338307e-37, 0.0, 0.0]	UW4udadQZmXifKgbFgjrkA
Washington	['Washington', 'Baltimore', 'Clovis', 'Nashville', 'Yuma']	[1.0, 4.3830707507675745e-36, 0.0, 0.0, 0.0]	kyVTt5wl2SCz7mZUShrkPg
