Gold	Predictions	Probabilities
western europe	['Luxembourg']	[1.0]	I2bZIA3vJauI6rm_OV3Z7w
oceania	['New Zealand']	[1.0]	HQGWKHghWk-TqbrR8YTqBw
western europe	['Belgium']	[1.0]	UtWbB0m_KyNGiIaHfYPwUh
western europe	['Belgium']	[0.9999994039535522]	b__X0WfhAboK62IHm7Eklw
western europe	['Belgium']	[1.0]	ghRePsod6PQG5qEzEn32Cw
western europe	['Belgium']	[1.0]	AjjbSr9cmoXySx_dfPl7Rg
western europe	['Belgium']	[1.0]	8TzcYvLQOL0vGPvEr7kn8g
northern europe	['Estonia']	[0.9407506585121155]	hdJbaZWtAXE2e0gJywMo6g
western europe	['Belgium']	[1.0]	yS7_UroZFzk__AwK3OY9G7
northern europe	['Denmark']	[1.0]	lQUfosHNXCsBi5EtWTD4NQ
western europe	['Belgium']	[1.0]	1JhZyMZ1JhI3cOxHLDBORg
western europe	['Belgium']	[1.0]	d3j7RDxbO8VsdHtyp37EwA
western europe	['Belgium']	[1.0]	AnagMcWzT9CMAgiyZP5KMg
western europe	['Belgium']	[1.0]	7xIxR6Po12-dg14sUqexVA
baltic	['Latvia']	[1.0]	18bMrs3IcBmWIxLQ7w1Odu
western europe	['Belgium']	[1.0]	3XcDbaWXczT1KBL7Bzo85g
western europe	['Belgium']	[1.0]	Y_XQ---1TcNzvu1rUlS7OA
western europe	['Belgium']	[1.0]	XpHO9zoJa9cs1DcBFXMNfg
western europe	['Belgium']	[1.0]	4FVUnW9X2PPPyC5lnANZgQ
western europe	['Belgium']	[1.0]	YX0tb7pg4aXDizBG3Pgi6j
western europe	['Belgium']	[1.0]	mpnQ4Rh_rHRmXsosSGVDkw
western europe	['Belgium']	[1.0]	wtDrCfnh2JKDPraBG0UZqw
western europe	['Belgium']	[1.0]	clgcmPhf58yl9v-aabVh4b
western europe	['Belgium']	[1.0]	lDw5YO-MV6ifyWlYX34Fzw
western europe	['Belgium']	[0.9999492168426514]	EahNc2HzdOTP1vYdSU8UdB
western europe	['Netherlands']	[1.0]	UzPJBzWmdwCyQInfTWUpBQ
western europe	['Belgium']	[1.0]	lq2RZwXuQQzmogp8AbQU3g
western europe	['Belgium']	[1.0]	7adNaz2pv2WmGGv0igDT6Q
western europe	['Luxembourg']	[0.79081791639328]	9agO5R13juaotYHPXGYnAg
western europe	['Belgium']	[1.0]	UEkOXNMqhJe7PLEGEXDVmQ
western europe	['Netherlands']	[0.9999974966049194]	0M6OzPYTPy44KqC90i9Uyw
western europe	['Belgium']	[1.0]	Xzz1C6ybKhTDV6N8NJ3Y0Q
western europe	['Belgium']	[1.0]	4P-pjmWwwycyRdDN5AZowA
western europe	['Belgium']	[1.0]	vYM3JQaYMMFlSPop4hu7wg
western europe	['Netherlands']	[1.0]	x-tUfDgMiZ-jkWCxynJBgQ
western europe	['Belgium']	[1.0]	VD-bvLmde24bux5WmWqAmg
western europe	['Belgium']	[1.0]	wAP62WDK22DAxY5rhQcr8w
western europe	['Netherlands']	[0.9999990463256836]	7YBsRexuk6KoGit7mo2xrg
western europe	['Belgium']	[1.0]	cxBVkMR-DJorjuxuYwxFWQ
western europe	['Belgium']	[1.0]	XpndlObowjhME7jx5MYTuy
western europe	['France']	[0.9722645282745361]	YzgVK5YOik5fII5OzUp4qw
northern europe	['Denmark']	[1.0]	ltePUtAQv2efAUCC4rrYaw
northern europe	['Denmark']	[0.9999997615814209]	k6tg2yFyNDQY4bCbESu3Ho
western europe	['Belgium']	[0.9999934434890747]	2SBch2xiwc8TB9aGOmq-_g
western europe	['Belgium']	[1.0]	kBIjOIVu5WAMayjFQK8A4w
baltic	['Denmark']	[1.0]	fsI6RNttAfQDCslpy0Wsbg
western europe	['Belgium']	[1.0]	vKt7yt83ALZFrH9ISda7lg
baltic	['Denmark']	[0.9907718896865845]	95sH_A7QvS6g_f_Kzr3ABA
western europe	['Belgium']	[1.0]	Z71NCyJ6jGslBxi_AesolH
northern europe	['Denmark']	[1.0]	5f2LeCo6kRH4A4cdtVup7g
western europe	['France']	[1.0]	JRJtgNuFjVEq0AzdCi85bw
western europe	['Belgium']	[1.0]	YqB0Z26xZwe8FmDaGZ3SjD
western europe	['Belgium']	[1.0]	9xRIcs-0f639eVdbfB5j7w
western europe	['Belgium']	[0.9995104074478149]	kYjTAFIldjf8M0xHcvdd5A
western europe	['Netherlands']	[1.0]	yGBqHWMUZ4Ms2uUl3tMXxA
western europe	['Belgium']	[0.9999998807907104]	TaQ8FvvTFkrtdiR6MKPF_A
western europe	['Belgium']	[1.0]	Wn52njQUEoabuCj1-zMX-A
