Gold	Predictions	Probabilities
Belgium	['western europe', 'northern europe', 'europe', 'west africa', 'eastern europe']	[1.0, 2.9005088261757628e-11, 3.2850353432487336e-14, 2.8549663048701375e-24, 1.866975410711675e-25]	I2bZIA3vJauI6rm_OV3Z7w
Belgium	['oceania', 'northern europe', 'western europe', 'europe', 'eastern europe']	[0.9999719858169556, 2.5442255719099194e-05, 2.608307568152668e-06, 1.500793135329314e-14, 1.5966373307878373e-19]	HQGWKHghWk-TqbrR8YTqBw
Belgium	['western europe', 'northern europe', 'europe', 'baltic', 'balkan']	[0.999996542930603, 3.4513152513682144e-06, 1.991360201736292e-12, 6.067162688096851e-30, 4.804666238788283e-31]	UtWbB0m_KyNGiIaHfYPwUh
Belgium	['western europe', 'europe', 'northern europe', 'eastern europe', 'southern europe']	[0.9999558925628662, 4.408719905768521e-05, 1.4184871992779868e-17, 1.5882242294546148e-32, 8.686593766954652e-34]	b__X0WfhAboK62IHm7Eklw
Belgium	['western europe', 'northern europe', 'europe', 'eastern europe', 'africa']	[0.9960678815841675, 0.003932117484509945, 1.0802276406707279e-08, 5.5493976137694916e-21, 1.760659295752461e-33]	ghRePsod6PQG5qEzEn32Cw
Belgium	['western europe', 'europe', 'northern europe', 'africa', 'north africa']	[1.0, 3.7644356382093846e-11, 2.7590534885451108e-17, 7.273049210260779e-32, 2.247248533385425e-32]	AjjbSr9cmoXySx_dfPl7Rg
Belgium	['western europe', 'europe', 'northern europe', 'eastern europe', 'north africa']	[1.0, 2.3376127422647386e-12, 1.4576257272053726e-21, 3.8951892199220527e-28, 8.5774186959727e-35]	8TzcYvLQOL0vGPvEr7kn8g
Belgium	['northern europe', 'western europe', 'baltic', 'europe', 'greenland']	[0.9999991655349731, 7.875632377363218e-07, 9.40367358634453e-13, 1.348553743785283e-16, 1.853501019584558e-22]	hdJbaZWtAXE2e0gJywMo6g
Belgium	['western europe', 'northern europe', 'europe', 'baltic', 'eastern europe']	[0.9802985787391663, 0.019701436161994934, 2.0773884001901166e-10, 2.3746956934174327e-19, 2.559467326740311e-31]	yS7_UroZFzk__AwK3OY9G7
Belgium	['northern europe', 'western europe', 'europe', 'baltic', 'eastern europe']	[0.9991446733474731, 0.0008553005754947662, 4.784120832823646e-08, 6.602680719106885e-17, 4.851779604740992e-28]	lQUfosHNXCsBi5EtWTD4NQ
Belgium	['western europe', 'europe', 'northern europe', 'eastern europe', 'southern europe']	[1.0, 2.937905696498433e-09, 1.3013286923605405e-15, 1.7720983710716483e-34, 9.764445002239102e-37]	1JhZyMZ1JhI3cOxHLDBORg
Belgium	['western europe', 'northern europe', 'europe', 'north africa', 'west africa']	[1.0, 2.9140932288757027e-12, 4.365028121975387e-16, 6.298911164262595e-32, 7.5589011694150415e-34]	d3j7RDxbO8VsdHtyp37EwA
